Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Forecasting of ozone concentration in smart city using deep learning,O. A. Ghoneim; Doreswamy; B. R. Manjunatha,"Department of Computer Science, Mangalore University, Karnataka, India Faculty of Science, Tanta University, Egypt; Department of Computer Science, Mangalore University, Karnataka, India Faculty of Science, Tanta University, Egypt; Department of Marine Geology, Mangalore University, Karnataka, India","2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",,2017,,,1320,1326,"Clean air is one of the most important needs for the well-being of human being health. In smart cities, timely and precise air pollution levels knowledge is vital for the successful setup of smart pollution systems. Recently, pollution and weather data in smart city have been bursting, and we have truly got into the era of big data. Ozone is considered as one of the most air pollutants with hurtful impact to human health. Existing methods used to predict the level of ozone uses shallow pollution prediction models and are still unsatisfactory in their accuracy to be used in many real-world applications. In order to increase the accuracy of prediction models we come up with the concept of using deep architecture models tested on big pollution and weather data. In this paper, a new deep learning-based ozone level prediction model is proposed, which considers the pollution and weather correlations integrally. This deep learning model is used to learn ozone level features, and it is trained using a grid search technique. A deep architecture model is utilized to represent ozone level features for prediction. Moreover, experiments demonstrate that the proposed method for ozone level prediction has superior performance. The outcome of this study can be helpful in predicting the ozone level pollution in Aarhus city as a model of smart cities for improving accuracy of ozone forecasting tools.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8126024,Big Data;Deep Learning;Grid Search;Smart City;air pollution;Ozone Concentration,Gases;Machine learning;Smart cities;Pollution;Predictive models;Computational modeling;Water,air pollution;atmospheric composition;Big Data;environmental science computing;health and safety;learning (artificial intelligence);neural nets;ozone;search problems;smart cities;weather forecasting,ozone concentration;smart city;clean air;human being health;timely air pollution levels knowledge;precise air pollution levels knowledge;smart pollution systems;weather data;big data;air pollutants;shallow pollution prediction models;deep architecture model;deep learning-based ozone level prediction model;weather correlations;deep learning model;ozone level features;ozone level pollution;Aarhus city;ozone forecasting tools;grid search technique,,3,33,,,,,IEEE,IEEE Conferences,,,,,,
Rigel: A Framework for OpenMP PerformanceTuning,P. Rameshka; P. Senanayake; T. Kannangara; P. Seneviratne; S. Jayasena; T. Rusira; M. Hall,"Dept of Computer Science & Engineering University of Moratuwa, Katubedda, Sri Lanka; Dept of Computer Science & Engineering University of Moratuwa, Katubedda, Sri Lanka; Dept of Computer Science & Engineering University of Moratuwa, Katubedda, Sri Lanka; Dept of Computer Science & Engineering University of Moratuwa, Katubedda, Sri Lanka; Dept of Computer Science & Engineering University of Moratuwa, Katubedda, Sri Lanka; School of Computing, University of Utah, Salt Lake City, UT; School of Computing, University of Utah, Salt Lake City, UT",2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2019,,,2093,2102,"OpenMP allows developers to harness the power of shared memory multiprocessing in C and C++ applications, but the performance gained with OpenMP is highly sensitive to the underlying hardware, making performance portability across different hardware architectures fragile. For example, in mapping a parallel for loop to hardware, OpenMP 4 offers commands for exploiting vector instructions (simd directives) and automatic GPU offloading (target directives), as well as schedule directives for CPU load balancing. These benefits come with a cost. A developer has to be well aware of the architecture details, and the application, and must iteratively tune to determine the best combination of pragma directives delivering higher performance for the given target architecture. Hence in this paper we introduce Rigel, a framework that automates these decisions to arrive at optimized OpenMP annotated code. Given a code segment with inherent parallelism, our framework uses separate machine learning classification models to predict the anticipated benefit of each optimization. Both Vector Classification and GPU Offloading Classification models perform with average accuracies of 83%. Succeeding the classification process, code segments are optimized accordingly. Our results show that GPU offloading optimization lead to an average speedup of 8x over default non-optimized CPU parallel execution (pragma omp parallel for) and average Vector optimization speedup is 6x compared to LLVM Clang 4.0 auto-vectorization. Furthermore Scheduling mechanism selection process results in overall accuracy of 90%.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855553,OpenMP;Clang;Performance Tunining;parallel programming;machine learning;GPU,Feature extraction;Graphics processing units;Optimization;Hardware;Machine learning;Tuning;Computer architecture,graphics processing units;learning (artificial intelligence);message passing;multiprocessing systems;parallel processing;pattern classification;scheduling;shared memory systems,simd directives;machine learning classification models;vector classification;hardware architectures;OpenMP 4;directive scheduling;GPU offloading classification models;scheduling mechanism selection process;OpenMP performancetuning;shared memory multiprocessing;C application;C++ application;vector instructions;performance portability;shared memory;Clang 4.0 auto-vectorization;default nonoptimized CPU parallel execution;GPU offloading optimization lead;classification process;code segment;optimized OpenMP;Rigel;pragma directives;CPU load balancing;target directives;automatic GPU offloading,,,31,,,,,IEEE,IEEE Conferences,,,,,,
Application of hierarchical temporal memory theory for document categorization,D. Shah; P. Ghate; M. Paranjape; A. Kumar,"College of Engineering, Pune, India; College of Engineering, Pune, India; College of Engineering, Pune, India; Maker's Lab, Tech Mahindra Ltd., India","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2017,,,1,6,"The current work intends to study the performance of the Hierarchical Temporal Memory(HTM) theory for automated classification of text as well as documents. HTM is a biologically inspired theory based on the working principles of the human neocortex. The current study intends to provide an alternative framework for document categorization using the Spatial Pooler learning algorithm in the HTM Theory. As HTM accepts only a stream of binary data as input, Latent Semantic Indexing(LSI) technique is used for extracting the top features from the input and converting them into binary format. The Spatial Pooler algorithm converts the binary input into sparse patterns with similar input text having overlapping spatial patterns making it easy for classifying the patterns into categories. The results obtained prove that HTM theory, although is in its nascent stages, performs at par with most of the popular machine learning based classifiers.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397473,Hierarchical Temporal Memory;Document Categorization;Machine Learning;Spatial Pooler;Latent Semantic Indexing;NuPIC;Supervised Learning,Neurons;Synapses;Brain;Semantics;Matrix decomposition;Feature extraction;Machine learning algorithms,feature extraction;indexing;learning (artificial intelligence);pattern classification;text analysis,HTM Theory;Spatial Pooler algorithm;overlapping spatial patterns;HTM theory;hierarchical temporal memory theory;document categorization;biologically inspired theory;Latent Semantic Indexing;Hierarchical Temporal Memory theory;LSI;Spatial Pooler learning;feature extraction;machine learning,,,21,,,,,IEEE,IEEE Conferences,,,,,,
A Hierarchical Clustering Strategy of Processing Class Imbalance and Its Application in Fraud Detection,Y. Zhang; G. Liu; L. Zheng; C. Yan,Tongji University; Tongji University; Tongji University; Tongji University,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2019,,,1810,1816,"With the Internet and mobile communications becoming an indispensable part of people's daily lives, online transactions have become one of the most common payment methods. However, transaction fraud incidents also occur frequently, causing a larger number of economic losses. Therefore, transaction fraud detection is significant. The methods of machine learning are often used to detect fraudulent transactions from a larger amount of transaction data. However, the class imbalance problem reduces the performance of these methods. There are mainly four factors causing this problem: imbalanced class distribution, sample size, class separability and within-class concept. The existing improvement strategies for class imbalance mainly focus on the first factor but omit other three ones. This paper considers the four factors to propose a comprehensive model called clustering tree. Constructing a clustering tree includes two steps: 1) we first select a clustering algorithm considering the class separability; and then 2) we use this clustering algorithm to construct a tree that can be used to determine if an incoming transaction is illegal. The root node of this tree contains all samples, and we consider both the imbalanced class distribution and the within-class concept when samples are hierarchically divided into sub-nodes during the constructing process. We compare the proposed method with five state-of-the-art ones on two real transaction datasets, and the experimental results show that our method works better.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855347,"Class imbalance, Machine learning, Clustering tree, Fraud detection",Clustering algorithms;Vegetation;Law;Companies;Support vector machines;Machine learning,computer crime;electronic commerce;fraud;Internet;learning (artificial intelligence);pattern classification;pattern clustering;retail data processing;transaction processing;trees (mathematics),mobile communications;online transactions;transaction fraud detection;machine learning;fraudulent transactions;class imbalance problem;clustering tree;clustering algorithm;payment methods;Internet;e-commerce;online shopping;phishing,,,28,,,,,IEEE,IEEE Conferences,,,,,,
Machine Learning in the Wild: The Case of User-Centered Learning in Cyber Physical Systems,A. R. Khamesi; E. Shin; S. Silvestri,"University of Kentucky,Computer Science Department,Lexington,KY,USA; University of Kentucky,Computer Science Department,Lexington,KY,USA; University of Kentucky,Computer Science Department,Lexington,KY,USA",2020 International Conference on COMmunication Systems & NETworkS (COMSNETS),,2020,,,275,281,"Smart environments, such as smart cities and smart homes, are Cyber-Physical-Systems (CPSs) which are becoming an increasing part of our everyday lives. Several applications in these systems, such as energy management through home appliance identification or activity recognition, adopt Machine Learning (ML) as a practical tool for extracting useful knowledge from raw data. These applications are usually characterized by a sequential stream of data, unlike the classical ML scenario in which the entire data is available during training. For such applications, Stream-based Active Learning (SAL) has been designed as a type of supervised ML in which an expert is asked to label the most informative instances as they arrive. Previous SAL techniques assume that the expert is always available and always labels the data correctly. However, in several applications, such as those mentioned above, the SAL activity interweaves with the everyday life of regular residents, who are often not experts, and may also not always be willing to participate in the labeling process. In this paper, we discuss the importance of user-centered ML, and show how taking into account realistic models of user behavior significantly improves the accuracy and reduces the training period of smart environment applications based on SAL. We consider two use cases, namely appliance identification and activity recognition. Results based on real data sets show an improvement in terms of accuracy up to 55.38%.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9027329,Cyber-Physical-Systems (CPSs);Internet of Things (IoT);Smart City;Smart Home;Machine Learning;Active Learning;User-Centered,Labeling;Home appliances;Training;Smart homes;Smart cities;Machine learning;Energy management,,,,,44,,,,,IEEE,IEEE Conferences,,,,,,
Digitized City with IoT,M. Ghosal; A. Bobade; P. Verma,G.H. Raisoni College of Engineering and Management; G.H. Raisoni College of Engineering and Management; G.H. Raisoni College of Engineering and Management,2018 Second International Conference on Computing Methodologies and Communication (ICCMC),,2018,,,877,880,"Internet of things generally termed as IoT is a collection of heterogeneous network. It can also be explained as it is a pool of various technologies used so far. IoT is a communication network. It includes networks, cloud, machine learning, big data and interoperability. This paper proposes an idea digitalization of a city and real vision of smart city. This paper also explains the basic structure of smart city and the need of MANET-WSN integration, the applications and challenges related to smart city.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8487764,sensor system;smart city;WSN;MANETS;protocols,Smart cities;Wireless sensor networks;Ad hoc networks;Mobile computing;Intelligent sensors,Big Data;Internet of Things;learning (artificial intelligence);mobile ad hoc networks;wireless sensor networks,communication network;machine learning;Internet of Things;MANET-WSN integration;heterogeneous network;IoT;digitized city;smart city;interoperability;big data,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Design of a risk based authentication system using machine learning techniques,M. Misbahuddin; B. S. Bindhumadhava; B. Dheeptha,"Computer Networks and Internet Engineering (CNIE) Division, Centre for Development of Advanced Computing, Electronics City, Bangalore, India - 560100; Computer Networks and Internet Engineering (CNIE) Division, Centre for Development of Advanced Computing, Electronics City, Bangalore, India - 560100; Dept. of Computer Science & Engineering, Sastra University, Thanjavur, Tamil Nadu - India - 613402","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2017,,,1,6,"Authentication provides a means to verify the legitimacy of a user trying to access any confidential or sensitive information. The need for protecting secure data hosted on the web has been rising exponentially as organizations are moving their applications online. Static methods of authentication cannot completely guarantee the genuineness of a user. This has led to the development of multi-factor authentication systems. Risk-based authentication, a form of multi factor authentication adapts itself according to the risk profile of the users. This paper puts forth the design of risk engine integrated with the system to examine the user's past login records and generate a suitable pattern using machine learning algorithms to calculate the risk level of the user. The risk level further decides the authentication method that the user will be challenged with. Thus the adaptive authentication model helps in providing a higher level of security to its users.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397628,Multi-factor Authentication;Risk Based Authentication;User behavior;Risk engine;Machine Learning Algorithms,Iron,Internet;learning (artificial intelligence);security of data,sensitive information;secure data;multifactor authentication systems;risk profile;risk engine;machine learning algorithms;risk level;adaptive authentication model;risk based authentication system;confidential information,,,14,,,,,IEEE,IEEE Conferences,,,,,,
A comparative study of various clustering techniques on big data sets using Apache Mahout,V. R. Eluri; M. Ramesh; A. S. M. Al-Jabri; M. Jane,"Dept. of Information Technology, Shinas College of Technology, Shinas, Oman; Dept. of Information Technology, R.V.R & JC College of Engineering, Chowdavaram, India; Dept. of Information Technology, Shinas College of Technology, Shinas, Oman; Dept. of Information Technology, Shinas College of Technology, Shinas, Oman",2016 3rd MEC International Conference on Big Data and Smart City (ICBDSC),,2016,,,1,4,"Clustering algorithms have materialized as an unconventional tool to precisely examine the immense volume of data produced by present applications. In specific, their main objective is to classify data into clusters such that objects are grouped in the same cluster when they are similar rendering to particular metrics and dissimilar to objects of other groups. From the machine learning perspective clustering can be viewed as unsupervised learning of concepts. Hadoop is a distributed file system and an open-source implementation of MapReduce dealing with big data. Apache Mahout clustering algorithms are implemented on top of Hadoop using MapReduce paradigm. In this paper three clustering algorithms are described: K-means, Fuzzy K-Means (FKM) and Canopy clustering implemented by using Apache Mahout as well as providing a comparison. In addition, we underlined the clustering algorithms that are the preeminent performing for big data.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460397,Clustering Algorithm;Apache Mahout;big data;K-means;Fuzzy K-Means;Canopy clustering,Clustering algorithms;Big data;Image segmentation;Smart cities;Information technology;Electronic mail;Machine learning algorithms,Big Data;fuzzy set theory;learning (artificial intelligence);network operating systems;pattern clustering,clustering techniques;big data sets;rendering;machine learning perspective clustering;unsupervised learning;Hadoop;distributed file system;open source;MapReduce dealing;Apache Mahout clustering algorithms;MapReduce paradigm;fuzzy k-means;FKM;Canopy clustering,,9,10,,,,,IEEE,IEEE Conferences,,,,,,
A Machine Learning Approach for Intrusion Detection in Smart Cities,A. Elsaeidy; K. S. Munasinghe; D. Sharma; A. Jamalipour,University of Canberra; University of Canberra; University of Canberra; University of Sydney,2019 IEEE 90th Vehicular Technology Conference (VTC2019-Fall),,2019,,,1,5,"Over the recent years smart cities have been emerged as promising paradigm for a transition toward providing effective and real time smart services. Despite the great potential it brings to citizens' life, security and privacy issues still need to be addressed. Due to technology advances, large amount of data is produced, where machine learning methods are applied to learn meaningful patterns. In this paper a machine learning-based framework is proposed for detecting distributed Denial of Service (DDoS) attacks in smart cities. The proposed framework applies restricted Boltzmann machines to learn high-level features from raw data and on top of these learned features, a feed forward neural network model is trained for attack detection. The performance of the proposed framework is verified using a smart city dataset collected from a smart water plant. The results show the effectiveness of the proposed framework in detecting DDoS attacks.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8891281,,Computer crime;Smart cities;Intrusion detection;Clustering algorithms;Deep learning,Boltzmann machines;computer network security;data privacy;feedforward neural nets;learning (artificial intelligence);smart cities;water supply,smart water plant;machine learning approach;intrusion detection;smart services;distributed denial of service attacks;restricted Boltzmann machines;high-level feature learning;feed forward neural network model;attack detection;smart city dataset,,,15,,,,,IEEE,IEEE Conferences,,,,,,
Telco Big Data Research and Open Problems,C. Costa; D. Zeinalipour-Yazti,University of Pittsburgh; University of Cyprus,2019 IEEE 35th International Conference on Data Engineering (ICDE),,2019,,,2056,2059,"A telecommunication company (telco) is traditionally only perceived as the entity that provides telecommunication services, such as telephony and data communication access to users. However, the radio and backbone infrastructure of such entities spanning densely most urban spaces and widely most rural areas, provides nowadays a unique opportunity to collect immense amounts of data that capture a variety of natural phenomena on an ongoing basis, e.g., traffic, commerce, mobility patterns and user service experience. The ability to perform analytics on the generated big data within tolerable elapsed time and share it with key smart city enablers (e.g., municipalities, public services, startups, authorities, and companies), elevates the role of telcos in the realm of future smart cities from pure network access providers to information providers. In this tutorial, we overview the state-of-the-art in telco big data analytics by focusing on a set of basic principles, namely: (i) real-time analytics and detection; (ii) experience, behavior and retention analytics; (iii) privacy; and (iv) storage. We also present experiences from developing an innovative such architecture and conclude with open problems and future directions.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8731497,"Telco, Big Data, Queries, Analytics, Storage, Privacy",Big Data;Tutorials;Data privacy;Distributed databases;Computer science;Real-time systems;Spatiotemporal phenomena,Big Data;data analysis;data privacy;smart cities;telecommunication computing;telecommunication services,telco big data research;telecommunication company;telecommunication services;future smart cities;telco big data analytics;retention analytics;privacy,,,35,,,,,IEEE,IEEE Conferences,,,,,,
A framework for smart transportation using Big Data,S. Shukla; Balachandran K; Sumitha V S,"Department of Computer Science and Engineering, Faculty of Engineering, Christ University, Bengaluru, India; Department of Computer Science and Engineering, Faculty of Engineering, Christ University, Bengaluru, India; Department of Computer Science and Engineering, Faculty of Engineering, Christ University, Bengaluru, India",2016 International Conference on ICT in Business Industry & Government (ICTBIG),,2016,,,1,3,"In the current era of information technology, data driven decision is widely recognized. It leads to involvement of the term “Big Data”. The use of IOT and ICT deployment is a key player of the smart city project in India. It leads to smart transportation systems with huge amounts of real time data that needs to be communicated, aggregated, interpreted, analyzed and maintained. These technologies enhance the effective usage of smart transportation systems, which is economical and has a high social impact. Social applications like transportation can be benefited by using IOT, ICT and big data analytics to give better prediction. In this paper, we present how big data analytics can be used to build a smart transportation system. Increasing traffic and frequent jams in today's scenario are becoming a routine, citizens are facing various health issues due to the bad transportation systems such as high blood pressure, stress, asthma due to air and noise pollution. In smart transportation mobility can be easily implemented as most of the citizens use smartphones. It can be easily linked to smart traffic signals to achieve the objective of smart transportation. Smart transportation is a key component to attract companies as it leads to better services, business planning, support beneficial environment and social behavior.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892720,Smart City;Big Data;Smart Transportation;Internet of Things (IoT);Information and Communication Technology (ICT),Big Data;Smart cities;Transportation;Real-time systems;Government;Internet of Things,Big Data;smart cities;traffic engineering computing;transportation,Big Data;information technology;data driven decision;India;smart city project;smart transportation systems;smart traffic signals,,9,11,,,,,IEEE,IEEE Conferences,,,,,,
Determining the Intervening Effects of Exploratory Data Analysis and Feature Engineering in Telecoms Customer Churn Modelling,A. S. Halibas; A. Cherian Matthew; I. G. Pillai; J. Harold Reazol; E. G. Delvo; L. Bonachita Reazol,"Faculty of Computing Sciences, Gulf College, Muscat, Oman; Faculty of Computing Sciences, Gulf College, Muscat, Oman; Faculty of Computing Sciences, Gulf College, Muscat, Oman; College of Engineering and Architecture, La Salle University, Ozamiz City, Philippines; College of Engineering and Architecture, La Salle University, Ozamiz City, Philippines; College of Engineering and Architecture, La Salle University, Ozamiz City, Philippines",2019 4th MEC International Conference on Big Data and Smart City (ICBDSC),,2019,,,1,7,"The telecoms industry is a highly competitive sector which is constantly challenged by customer churn or attrition. In order to remain steadfast in the consumer business, companies need to have sophisticated churn management strategies that will harness valuable data for business intelligence. Data mining and machine learning are tools which can be used by telecoms companies to monitor the churn behaviour of customers. This study implemented exploratory data analysis and feature engineering in a public domain Telecoms dataset and applied seven (7) classification techniques namely, Naïve Bayes, Generalized Linear Model, Logistic Regression, Deep Learning, Decision Tree, Random Forest, and Gradient Boosted Trees. The results are analyzed using different metrics such as Accuracy, Classification error, Precision, Recall, F1-score, and AUC. This study discussed how these results are essential in reducing customer churn and improving customer service. The results obtained in the experiment demonstrate that the best classifier is Gradient Boosted Trees. It outperforms the other classifiers in almost all evaluation metrics. Further, all classifiers showed remarkable improved performance after the oversampling method is applied.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8645578,business intelligence;customer churn;exploratory data analysis;feature engineering;machine learning,Telecommunications;Decision trees;Companies;Vegetation;Measurement;Data analysis;Computational modeling,Bayes methods;customer services;data analysis;data mining;decision trees;pattern classification;random forests;regression analysis;telecommunication computing;telecommunication industry,exploratory data analysis;feature engineering;telecoms industry;consumer business;business intelligence;public domain Telecoms dataset;generalized linear model;deep learning;decision tree;gradient boosted trees;customer service;churn management strategies;telecoms customer churn modelling;data mining;machine learning;classifiers;Naïve Bayes method;logistic regression;random forest,,1,39,,,,,IEEE,IEEE Conferences,,,,,,
Machine Learning Based Edge-Assisted UAV Computation Offloading for Data Analyzing,K. Kim; Y. M. Park; C. Seon Hong,"Kyung Hee University,Department of Computer Science and Engineering,Yongin,Republic of Korea; Kyung Hee University,Department of Computer Science and Engineering,Yongin,Republic of Korea; Kyung Hee University,Department of Computer Science and Engineering,Yongin,Republic of Korea",2020 International Conference on Information Networking (ICOIN),,2020,,,117,120,"Recently, Combining communication technology with Unmanned Aerial Vehicle (UAV) have been regarding as one of the promising techniques in the future network. Various services can be served through UAV, such as information collection in disaster area or traffic monitoring in smart city. However, on-board computation resource and the battery lifetime of UAV are limited. For that reason, there is a limit to perform analysis, such as, machine learning using collected data. In this situation, UAV can get help from an adjacent Mobile Edge Computing (MEC) server that has computing resources. However, the closest MEC server does not always guarantee optimal computing performance and communication efficiency. In this paper, to solve this problem, we propose the overall system of machine learning based UAV to MEC computation offloading for data analyzing. First, we define the problems into two. Firstly, we define two problems 1) matching UAV and task cluster in consideration of energy efficiency. 2) Finding optimal MEC server to offload the task to minimize the total processing time and energy consumption. Then, we apply a machine-learning algorithm to solve the two problems. In the simulation section, we analyze the proposed method and greedy method in terms of total energy consumption and total processing time. Simulation results demonstrate that our proposed mechanism is efficient in total energy consumption of UAV and total processing time of tasks.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016432,Mobile Edge Computing;Reinforcement Learning;Q-Learning,Task analysis;Servers;Unmanned aerial vehicles;Energy consumption;Computational modeling;Delays;Machine learning,,,,,6,,,,,IEEE,IEEE Conferences,,,,,,
Exploiting Data Analytics for Home Automation Services,F. Ramparany; M. Thalgott; S. Bolle; S. Martin,"Orange Labs., Meylan, France; Orange Labs., Meylan, France; Orange Labs., Meylan, France; Orange Labs., Meylan, France",2016 IEEE 4th International Conference on Future Internet of Things and Cloud (FiCloud),,2016,,,228,234,"The Internet of Thing generates data at an unprecedented pace. This is due to the ever increasing number of connected devices being deployed as well as their volubility. There's a huge potential in exploiting this mass of data. In particular collecting, storing this data over time, and analyzing the resulting deposit offline, enables the extraction of information and discovering of patterns, which can then be transformed into executable structures and new services. This approach can apply to a range of application domains including Smart Home, Smart City, Smart Energy services. In this paper we show how Data Analytics (DA) can leverage such data deposit and produce insights which can then be transformed into enhanced services that will bring the user experience to the next level. Our approach has been assessed in the domain of the Smart Home with real data provided by Orange Homelive solution through the implementation of the MACLEOD system.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7575868,data analytics;data mining;machine learning;smart home;internet of things,Internet of things;Data analysis;Data mining;Data visualization;Smart homes;Context;Intelligent sensors,data analysis;data mining;home automation;Internet of Things;smart cities,MACLEOD system;DA;smart energy services;smart city;smart home;pattern discovery;information extraction;Internet of Thing;data analytics;home automation services,,,16,,,,,IEEE,IEEE Conferences,,,,,,
A Physical Testbed for Intelligent Transportation Systems,A. Morrissett; R. Eini; M. Zaman; N. Zohrabi; S. Abdelwahed,"Virginia Commonwealth University,Department of Electrical and Computer Engineering,Richmond,Virginia,23220; Virginia Commonwealth University,Department of Electrical and Computer Engineering,Richmond,Virginia,23220; Virginia Commonwealth University,Department of Electrical and Computer Engineering,Richmond,Virginia,23220; Virginia Commonwealth University,Department of Electrical and Computer Engineering,Richmond,Virginia,23220; Virginia Commonwealth University,Department of Electrical and Computer Engineering,Richmond,Virginia,23220",2019 12th International Conference on Human System Interaction (HSI),,2019,,,161,167,"Intelligent transportation systems (ITSs) and other smart-city technologies are increasingly advancing in capability and complexity. While simulation environments continue to improve, their fidelity and ease of use can quickly degrade as newer systems become increasingly complex. To remedy this, we propose a hardware- and software-based traffic management system testbed as part of a larger smart-city testbed. It comprises a network of connected vehicles, a network of intersection controllers, a variety of control services, and data analytics services. The main goal of our testbed is to provide researchers and students with the means to develop novel traffic and vehicle control algorithms with higher fidelity than what can be achieved with simulation alone. Specifically, we are using the testbed to develop an integrated management system that combines model-based control and data analytics to improve the system performance over time. In this paper, we give a detailed description of each component within the testbed and discuss its current developmental state. Additionally, we present initial results and propose future work.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8942615,Smart city;Intelligent transportation systems;Human-in-the-loop;Data analytics;Data visualization;Traffic network management and control;Machine learning,,data analysis;intelligent transportation systems;road traffic control;road vehicles;smart cities,software-based traffic management system;hardware-based traffic management system;ITS;data analytics;model-based control;integrated management system;vehicle control algorithms;data analytics services;control services;intersection controllers;connected vehicles;smart-city technologies;intelligent transportation systems,,,19,,,,,IEEE,IEEE Conferences,,,,,,
Integrated smart neighborhood framework and application to sustain an innovative digital economy in the 4IR and big data era,H. B. Zaman; A. Ahmad; N. A. Hamid; A. K. Sin; A. Hussain; M. A. Hannan; H. M. Saad,"Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia; Institute of Visual Informatics (IVI), Universiti Kebangsaan Malaysia",2017 3rd International Conference on Science in Information Technology (ICSITech),,2017,,,7,12,"This study involved the design of a smart neighborhood application, to sustain an innovative economy in this 4IR Big Data era. This study involved a five-part study : Part 1 investigated on the appropriate drivers of the dimension of the innovative Digital Malaysia concept before theories of digital signal processing, visualization and appropriate ambient computing could be applied into the design framework of the Integrated Smart Neighborhood in a Smart City in Malaysia; Part II, involved a semi-structured interview with two prominent experts; Part III involved public survey conducted to verify the significant dimensions of Malaysia's KS, the important indicators of KS and to validate the generalizable measurement model for Malaysia's KS based on the innovative Digital Malaysia context. Based on the 5-Round Delphi, KS in the Digital Malaysia context was defined; Part V involved development of tools and devices as proof of concept for sustainability and wellbeing of a specific section of the population in the big data era. A smart neighborhood in the context of this study takes into consideration the Knowledge Society (KS) model in an innovative Digital Malaysia KS Dimensions: Technology, Education, Governance, Social and Environment. The framework was verified for its `goodness of fit' model using the Structural Equation Modeling (SEM), based on the AMOS output. The elements that were significant were related to three main elements: environment: cleanliness; security and health. The data in the smart neighborhood can be presented by the dashboard technology using Big Data Analytics, to be shared for societal well-being.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257077,smart neighborhood;big data,Production;Big Data;Economics;Visualization;Education;Information and communication technology;Technological innovation,Big Data;data analysis;economics;innovation management;knowledge management;smart cities;statistical analysis,innovative Digital Malaysia KS Dimensions;Structural Equation Modeling;Big Data Analytics;Integrated smart neighborhood framework;innovative digital economy;digital signal processing;Smart City;4IR;Knowledge Society model,,,26,,,,,IEEE,IEEE Conferences,,,,,,
